"Time (UTC),""Belgium (BE) > Germany (DE) Day Ahead [MW]"",""Belgium (BE) > Germany (DE) Total [MW]"",""Germany (DE) > Belgium (BE) Day Ahead [MW]"",""Germany (DE) > Belgium (BE) Total [MW]"""
"03.01.2021 19:45 - 03.01.2021 20:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 20:00 - 03.01.2021 20:15,""0"",""0"",""1000"",""1000"""
"03.01.2021 20:15 - 03.01.2021 20:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 20:30 - 03.01.2021 20:45,""0"",""0"",""1000"",""1000"""
"03.01.2021 20:45 - 03.01.2021 21:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 21:00 - 03.01.2021 21:15,""743"",""743"",""0"",""0"""
"03.01.2021 21:15 - 03.01.2021 21:30,""743"",""743"",""0"",""0"""
"03.01.2021 21:30 - 03.01.2021 21:45,""743"",""743"",""0"",""0"""
"03.01.2021 21:45 - 03.01.2021 22:00,""743"",""743"",""0"",""0"""
"03.01.2021 22:00 - 03.01.2021 22:15,""0"",""0"",""271"",""271"""
"03.01.2021 22:15 - 03.01.2021 22:30,""0"",""0"",""271"",""271"""
"03.01.2021 22:30 - 03.01.2021 22:45,""0"",""0"",""271"",""271"""
"03.01.2021 22:45 - 03.01.2021 23:00,""0"",""0"",""271"",""271"""
"03.01.2021 23:00 - 03.01.2021 23:15,""677"",""677"",""0"",""0"""
"03.01.2021 23:15 - 03.01.2021 23:30,""677"",""677"",""0"",""0"""
"03.01.2021 23:30 - 03.01.2021 23:45,""677"",""677"",""0"",""0"""
"03.01.2021 23:45 - 04.01.2021 00:00,""677"",""677"",""0"",""0"""
"04.01.2021 00:00 - 04.01.2021 00:15,""0"",""0"",""861"",""861"""
"04.01.2021 00:15 - 04.01.2021 00:30,""0"",""0"",""861"",""861"""
"04.01.2021 00:30 - 04.01.2021 00:45,""0"",""0"",""861"",""861"""
"04.01.2021 00:45 - 04.01.2021 01:00,""0"",""0"",""861"",""861"""
"04.01.2021 01:00 - 04.01.2021 01:15,""0"",""0"",""94"",""94"""
"04.01.2021 01:15 - 04.01.2021 01:30,""0"",""0"",""94"",""94"""
"04.01.2021 01:30 - 04.01.2021 01:45,""0"",""0"",""94"",""94"""
"04.01.2021 01:45 - 04.01.2021 02:00,""0"",""0"",""94"",""94"""
"04.01.2021 02:00 - 04.01.2021 02:15,""0"",""0"",""202"",""202"""
"04.01.2021 02:15 - 04.01.2021 02:30,""0"",""0"",""202"",""202"""
"04.01.2021 02:30 - 04.01.2021 02:45,""0"",""0"",""202"",""202"""
